n,generations,population_size,mutation_type,p_m,crossover_type,p_c,fitness_val,abs_fitness_val,execution_time,execution_time_brute_force,err,err_percentage,exec_time_rate
5,80000,150,swap,0.4,pmx,0.4,7325.75,6473.75,0.0191,0.0013,852.0,13.160841861363195,0.06787998057938177
5,80000,150,swap,0.6000000000000001,pmx,0.4,7253.75,6473.75,0.0072,0.0013,780.0,12.048658042093066,0.18034050603605092
5,80000,150,swap,0.8000000000000002,pmx,0.4,7251.75,6473.75,0.0064,0.0013,778.0,12.017764047113346,0.20094325409987102
5,80000,150,swap,0.4,pmx,0.6000000000000001,7217.25,6473.75,0.0094,0.0013,743.5,11.484842633713072,0.13705842193901918
5,80000,150,swap,0.6000000000000001,pmx,0.6000000000000001,7089.75,6473.75,0.0092,0.0013,616.0,9.515350453755545,0.13985675225075025
5,80000,150,swap,0.8000000000000002,pmx,0.6000000000000001,7089.75,6473.75,0.0080,0.0013,616.0,9.515350453755545,0.1614340123164377
5,80000,150,swap,0.4,pmx,0.8000000000000002,7029.75,6473.75,0.0112,0.0013,556.0,8.588530604363783,0.11508706994807716
5,80000,150,swap,0.6000000000000001,pmx,0.8000000000000002,7029.75,6473.75,0.0103,0.0013,556.0,8.588530604363783,0.12503371322433443
5,80000,150,swap,0.8000000000000002,pmx,0.8000000000000002,7029.75,6473.75,0.0093,0.0013,556.0,8.588530604363783,0.13962039279952884
5,80000,150,swap,0.4,order,0.4,7323.75,6473.75,0.0077,0.0013,850.0,13.129947866383475,0.16692469615796723
5,80000,150,swap,0.6000000000000001,order,0.4,7289.75,6473.75,0.0071,0.0013,816.0,12.604749951728138,0.18223305370809798
5,80000,150,swap,0.8000000000000002,order,0.4,7289.75,6473.75,0.0064,0.0013,816.0,12.604749951728138,0.20295522965830418
5,80000,150,swap,0.4,order,0.6000000000000001,7119.75,6473.75,0.0097,0.0013,646.0,9.97876037845144,0.13301932619355467
5,80000,150,swap,0.6000000000000001,order,0.6000000000000001,7168.25,6473.75,0.0103,0.0013,694.5,10.727939756709787,0.12601329327478622
5,80000,150,swap,0.8000000000000002,order,0.6000000000000001,7217.25,6473.75,0.0123,0.0013,743.5,11.484842633713072,0.10498479311473516
5,80000,150,swap,0.4,order,0.8000000000000002,6965.25,6473.75,0.0119,0.0013,491.5,7.592199266267613,0.1091872962473467
5,80000,150,swap,0.6000000000000001,order,0.8000000000000002,7029.75,6473.75,0.0110,0.0013,556.0,8.588530604363783,0.11741919589982126
5,80000,150,swap,0.8000000000000002,order,0.8000000000000002,7119.75,6473.75,0.0093,0.0013,646.0,9.97876037845144,0.13829947750215593
5,80000,150,insert,0.4,pmx,0.4,7244.25,6473.75,0.0077,0.0013,770.5,11.901911565939372,0.1680669235274173
5,80000,150,insert,0.6000000000000001,pmx,0.4,7244.25,6473.75,0.0074,0.0013,770.5,11.901911565939372,0.17520066833751044
5,80000,150,insert,0.8000000000000002,pmx,0.4,7253.75,6473.75,0.0069,0.0013,780.0,12.048658042093066,0.18736796673653824
5,80000,150,insert,0.4,pmx,0.6000000000000001,6965.25,6473.75,0.0142,0.0013,491.5,7.592199266267613,0.09152181546569985
5,80000,150,insert,0.6000000000000001,pmx,0.6000000000000001,6860.25,6473.75,0.0135,0.0013,386.5,5.970264529832008,0.09561762735642261
5,80000,150,insert,0.8000000000000002,pmx,0.6000000000000001,7029.75,6473.75,0.0083,0.0013,556.0,8.588530604363783,0.1551280320919514
5,80000,150,insert,0.4,pmx,0.8000000000000002,6860.25,6473.75,0.0121,0.0013,386.5,5.970264529832008,0.10676290726817042
5,80000,150,insert,0.6000000000000001,pmx,0.8000000000000002,6860.25,6473.75,0.0112,0.0013,386.5,5.970264529832008,0.11557005510809665
5,80000,150,insert,0.8000000000000002,pmx,0.8000000000000002,6965.25,6473.75,0.0097,0.0013,491.5,7.592199266267613,0.13382900620965563
5,80000,150,insert,0.4,order,0.4,7289.75,6473.75,0.0086,0.0013,816.0,12.604749951728138,0.14959929762949956
5,80000,150,insert,0.6000000000000001,order,0.4,7251.75,6473.75,0.0075,0.0013,778.0,12.017764047113346,0.17332936613897895
5,80000,150,insert,0.8000000000000002,order,0.4,7361.25,6473.75,0.0072,0.0013,887.5,13.70921027225333,0.1797282352165601
5,80000,150,insert,0.4,order,0.6000000000000001,7119.75,6473.75,0.0095,0.0013,646.0,9.97876037845144,0.13626037584966014
5,80000,150,insert,0.6000000000000001,order,0.6000000000000001,7089.75,6473.75,0.0095,0.0013,616.0,9.515350453755545,0.1368348524392692
5,80000,150,insert,0.8000000000000002,order,0.6000000000000001,7184.25,6473.75,0.0083,0.0013,710.5,10.975091716547595,0.1559176231734866
5,80000,150,insert,0.4,order,0.8000000000000002,6965.25,6473.75,0.0119,0.0013,491.5,7.592199266267613,0.10852015523932729
5,80000,150,insert,0.6000000000000001,order,0.8000000000000002,6965.25,6473.75,0.0100,0.0013,491.5,7.592199266267613,0.12890905480164547
5,80000,150,insert,0.8000000000000002,order,0.8000000000000002,6929.25,6473.75,0.0093,0.0013,455.5,7.036107356632556,0.13854194171303708
5,80000,150,scramble,0.4,pmx,0.4,7217.25,6473.75,0.0079,0.0013,743.5,11.484842633713072,0.16294400382512028
5,80000,150,scramble,0.6000000000000001,pmx,0.4,7325.75,6473.75,0.0077,0.0013,852.0,13.160841861363195,0.16749386250537568
5,80000,150,scramble,0.8000000000000002,pmx,0.4,7325.75,6473.75,0.0065,0.0013,852.0,13.160841861363195,0.199963150946164
5,80000,150,scramble,0.4,pmx,0.6000000000000001,7029.75,6473.75,0.0098,0.0013,556.0,8.588530604363783,0.1324538502647816
5,80000,150,scramble,0.6000000000000001,pmx,0.6000000000000001,6965.25,6473.75,0.0088,0.0013,491.5,7.592199266267613,0.14717650615417835
5,80000,150,scramble,0.8000000000000002,pmx,0.6000000000000001,7184.25,6473.75,0.0081,0.0013,710.5,10.975091716547595,0.15927891800309643
5,80000,150,scramble,0.4,pmx,0.8000000000000002,6965.25,6473.75,0.0116,0.0013,491.5,7.592199266267613,0.11149361414988242
5,80000,150,scramble,0.6000000000000001,pmx,0.8000000000000002,6929.25,6473.75,0.0108,0.0013,455.5,7.036107356632556,0.1199638123734929
5,80000,150,scramble,0.8000000000000002,pmx,0.8000000000000002,6880.25,6473.75,0.0095,0.0013,406.5,6.279204479629271,0.13683141860523476
5,80000,150,scramble,0.4,order,0.4,7217.25,6473.75,0.0080,0.0013,743.5,11.484842633713072,0.1606160952044303
5,80000,150,scramble,0.6000000000000001,order,0.4,7323.75,6473.75,0.0069,0.0013,850.0,13.129947866383475,0.18596845839017734
5,80000,150,scramble,0.8000000000000002,order,0.4,7323.75,6473.75,0.0069,0.0013,850.0,13.129947866383475,0.188267219114702
5,80000,150,scramble,0.4,order,0.6000000000000001,7184.25,6473.75,0.0103,0.0013,710.5,10.975091716547595,0.12531244714101855
5,80000,150,scramble,0.6000000000000001,order,0.6000000000000001,7119.75,6473.75,0.0090,0.0013,646.0,9.97876037845144,0.14424855026455025
5,80000,150,scramble,0.8000000000000002,order,0.6000000000000001,7119.75,6473.75,0.0185,0.0013,646.0,9.97876037845144,0.07023281982585398
5,80000,150,scramble,0.4,order,0.8000000000000002,6929.25,6473.75,0.0115,0.0013,455.5,7.036107356632556,0.112864465649645
5,80000,150,scramble,0.6000000000000001,order,0.8000000000000002,6880.25,6473.75,0.0100,0.0013,406.5,6.279204479629271,0.12878726439605082
5,80000,150,scramble,0.8000000000000002,order,0.8000000000000002,6965.25,6473.75,0.0098,0.0013,491.5,7.592199266267613,0.13249891135303266
5,80000,150,reverse,0.4,pmx,0.4,7253.75,6473.75,0.0074,0.0013,780.0,12.048658042093066,0.17517815331234338
5,80000,150,reverse,0.6000000000000001,pmx,0.4,7244.25,6473.75,0.0069,0.0013,770.5,11.901911565939372,0.18590505284691441
5,80000,150,reverse,0.8000000000000002,pmx,0.4,7251.75,6473.75,0.0062,0.0013,778.0,12.017764047113346,0.2071969600243198
5,80000,150,reverse,0.4,pmx,0.6000000000000001,7168.25,6473.75,0.0092,0.0013,694.5,10.727939756709787,0.13995726789701993
5,80000,150,reverse,0.6000000000000001,pmx,0.6000000000000001,7168.25,6473.75,0.0086,0.0013,694.5,10.727939756709787,0.1508492004647817
5,80000,150,reverse,0.8000000000000002,pmx,0.6000000000000001,6965.25,6473.75,0.0078,0.0013,491.5,7.592199266267613,0.1646116169544741
5,80000,150,reverse,0.4,pmx,0.8000000000000002,6880.25,6473.75,0.0110,0.0013,406.5,6.279204479629271,0.11767767778137476
5,80000,150,reverse,0.6000000000000001,pmx,0.8000000000000002,7089.75,6473.75,0.0106,0.0013,616.0,9.515350453755545,0.12208851570721659
5,80000,150,reverse,0.8000000000000002,pmx,0.8000000000000002,7029.75,6473.75,0.0094,0.0013,556.0,8.588530604363783,0.1377822610805074
5,80000,150,reverse,0.4,order,0.4,7253.75,6473.75,0.0077,0.0013,780.0,12.048658042093066,0.16671544059194032
5,80000,150,reverse,0.6000000000000001,order,0.4,7343.75,6473.75,0.0069,0.0013,870.0,13.438887816180724,0.18670074302345488
5,80000,150,reverse,0.8000000000000002,order,0.4,7323.75,6473.75,0.0068,0.0013,850.0,13.129947866383475,0.191057682469603
5,80000,150,reverse,0.4,order,0.6000000000000001,7119.75,6473.75,0.0095,0.0013,646.0,9.97876037845144,0.13644108800640592
5,80000,150,reverse,0.6000000000000001,order,0.6000000000000001,7217.25,6473.75,0.0089,0.0013,743.5,11.484842633713072,0.14583030756886867
5,80000,150,reverse,0.8000000000000002,order,0.6000000000000001,7119.75,6473.75,0.0078,0.0013,646.0,9.97876037845144,0.1665830135647073
5,80000,150,reverse,0.4,order,0.8000000000000002,7089.75,6473.75,0.0110,0.0013,616.0,9.515350453755545,0.117197102632993
5,80000,150,reverse,0.6000000000000001,order,0.8000000000000002,7089.75,6473.75,0.0102,0.0013,616.0,9.515350453755545,0.12722764542548476
5,80000,150,reverse,0.8000000000000002,order,0.8000000000000002,6965.25,6473.75,0.0105,0.0013,491.5,7.592199266267613,0.1236023756630548
5,80000,200,swap,0.4,pmx,0.4,7253.75,6473.75,0.0229,0.0013,780.0,12.048658042093066,0.05665622610141313
5,80000,200,swap,0.6000000000000001,pmx,0.4,7289.75,6473.75,0.0163,0.0013,816.0,12.604749951728138,0.07951287203791468
5,80000,200,swap,0.8000000000000002,pmx,0.4,7325.75,6473.75,0.0155,0.0013,852.0,13.160841861363195,0.08385253898440623
5,80000,200,swap,0.4,pmx,0.6000000000000001,7109.75,6473.75,0.0165,0.0013,636.0,9.824290403552808,0.0783553946082658
5,80000,200,swap,0.6000000000000001,pmx,0.6000000000000001,7168.25,6473.75,0.0183,0.0013,694.5,10.727939756709787,0.07069265535258197
5,80000,200,swap,0.8000000000000002,pmx,0.6000000000000001,7119.75,6473.75,0.0117,0.0013,646.0,9.97876037845144,0.1106474400860407
5,80000,200,swap,0.4,pmx,0.8000000000000002,7029.75,6473.75,0.0178,0.0013,556.0,8.588530604363783,0.07270029999600006
5,80000,200,swap,0.6000000000000001,pmx,0.8000000000000002,7029.75,6473.75,0.0138,0.0013,556.0,8.588530604363783,0.0936116057479355
5,80000,200,swap,0.8000000000000002,pmx,0.8000000000000002,6857.75,6473.75,0.0132,0.0013,384.0,5.93164703610735,0.09785003230206014
5,80000,200,swap,0.4,order,0.4,7325.75,6473.75,0.0108,0.0013,852.0,13.160841861363195,0.1196033078154818
5,80000,200,swap,0.6000000000000001,order,0.4,7323.75,6473.75,0.0107,0.0013,850.0,13.129947866383475,0.1205313055395906
5,80000,200,swap,0.8000000000000002,order,0.4,7253.75,6473.75,0.0095,0.0013,780.0,12.048658042093066,0.13647182259598536
5,80000,200,swap,0.4,order,0.6000000000000001,7244.25,6473.75,0.0139,0.0013,770.5,11.901911565939372,0.0935104647573315
5,80000,200,swap,0.6000000000000001,order,0.6000000000000001,7184.25,6473.75,0.0127,0.0013,710.5,10.975091716547595,0.1022828265396087
5,80000,200,swap,0.8000000000000002,order,0.6000000000000001,6965.25,6473.75,0.0111,0.0013,491.5,7.592199266267613,0.1168780588184858
5,80000,200,swap,0.4,order,0.8000000000000002,7029.75,6473.75,0.0160,0.0013,556.0,8.588530604363783,0.080993972163218
5,80000,200,swap,0.6000000000000001,order,0.8000000000000002,7029.75,6473.75,0.0146,0.0013,556.0,8.588530604363783,0.0888261822920909
5,80000,200,swap,0.8000000000000002,order,0.8000000000000002,6929.25,6473.75,0.0129,0.0013,455.5,7.036107356632556,0.10009720779101573
5,80000,200,insert,0.4,pmx,0.4,7244.25,6473.75,0.0105,0.0013,770.5,11.901911565939372,0.12335350994276406
5,80000,200,insert,0.6000000000000001,pmx,0.4,7251.75,6473.75,0.0115,0.0013,778.0,12.017764047113346,0.11292991736221858
5,80000,200,insert,0.8000000000000002,pmx,0.4,7323.75,6473.75,0.0090,0.0013,850.0,13.129947866383475,0.1429476510067114
5,80000,200,insert,0.4,pmx,0.6000000000000001,7109.75,6473.75,0.0252,0.0013,636.0,9.824290403552808,0.051443945240633636
5,80000,200,insert,0.6000000000000001,pmx,0.6000000000000001,7089.75,6473.75,0.0133,0.0013,616.0,9.515350453755545,0.09719421033868092
5,80000,200,insert,0.8000000000000002,pmx,0.6000000000000001,7089.75,6473.75,0.0127,0.0013,616.0,9.515350453755545,0.1022924208314573
5,80000,200,insert,0.4,pmx,0.8000000000000002,6929.25,6473.75,0.0188,0.0013,455.5,7.036107356632556,0.06901495076323316
5,80000,200,insert,0.6000000000000001,pmx,0.8000000000000002,6929.25,6473.75,0.0187,0.0013,455.5,7.036107356632556,0.06928153287082921
5,80000,200,insert,0.8000000000000002,pmx,0.8000000000000002,6860.25,6473.75,0.0174,0.0013,386.5,5.970264529832008,0.074353908881404
