n,generations,population_size,selection_type,mutation_type,p_m,crossover_type,p_c,fitness_val,abs_fitness_val,execution_time,execution_time_brute_force,err,err_percentage,exec_time_rate
5,100,50,elitist,swap,0.4,pmx,0.4,7289.75,6473.75,0.0033,0.0013,816.0,12.604749951728138,0.3919065047078272
5,100,50,elitist,swap,0.6000000000000001,pmx,0.4,7109.75,6473.75,0.0030,0.0013,636.0,9.824290403552808,0.42879798678829817
5,100,50,elitist,swap,0.8000000000000002,pmx,0.4,7244.25,6473.75,0.0025,0.0013,770.5,11.901911565939372,0.5185539895387541
5,100,50,elitist,swap,0.4,pmx,0.6000000000000001,6707.75,6473.75,0.0029,0.0013,234.0,3.6145974126279157,0.4479989483197765
5,100,50,elitist,swap,0.6000000000000001,pmx,0.6000000000000001,6860.25,6473.75,0.0025,0.0013,386.5,5.970264529832008,0.5116444778080135
5,100,50,elitist,swap,0.8000000000000002,pmx,0.6000000000000001,7109.75,6473.75,0.0025,0.0013,636.0,9.824290403552808,0.5182582644235338
5,100,50,elitist,swap,0.4,pmx,0.8000000000000002,6671.75,6473.75,0.0040,0.0013,198.0,3.0585055029928583,0.32486863679694944
5,100,50,elitist,swap,0.6000000000000001,pmx,0.8000000000000002,6880.25,6473.75,0.0131,0.0013,406.5,6.279204479629271,0.09901927141975084
5,100,50,elitist,swap,0.8000000000000002,pmx,0.8000000000000002,6707.75,6473.75,0.0029,0.0013,234.0,3.6145974126279157,0.4376782148017338
5,100,50,elitist,swap,0.4,order,0.4,7323.75,6473.75,0.0025,0.0013,850.0,13.129947866383475,0.5097312517528279
5,100,50,elitist,swap,0.6000000000000001,order,0.4,7244.25,6473.75,0.0022,0.0013,770.5,11.901911565939372,0.5889603802117087
5,100,50,elitist,swap,0.8000000000000002,order,0.4,7217.25,6473.75,0.0019,0.0013,743.5,11.484842633713072,0.6569391807228916
5,100,50,elitist,swap,0.4,order,0.6000000000000001,7029.75,6473.75,0.0027,0.0013,556.0,8.588530604363783,0.47972859405243706
5,100,50,elitist,swap,0.6000000000000001,order,0.6000000000000001,6929.25,6473.75,0.0024,0.0013,455.5,7.036107356632556,0.5279941125205772
5,100,50,elitist,swap,0.8000000000000002,order,0.6000000000000001,7251.75,6473.75,0.0023,0.0013,778.0,12.017764047113346,0.5551410303400529
