n,generations,population_size,mutation_type,p_m,crossover_type,p_c,fitness_val,abs_fitness_val,execution_time,execution_time_brute_force,err,err_percentage,exec_time_rate
5,80000,150,swap,0.4,pmx,0.4,7184.25,6473.75,0.0194,0.0013,710.5,10.975091716547595,0.06694325668193146
5,80000,150,swap,0.6000000000000001,pmx,0.4,7251.75,6473.75,0.0066,0.0013,778.0,12.017764047113346,0.1969654733952245
5,80000,150,swap,0.8000000000000002,pmx,0.4,7244.25,6473.75,0.0061,0.0013,770.5,11.901911565939372,0.21113630977734751
5,80000,150,swap,0.4,pmx,0.6000000000000001,6965.25,6473.75,0.0081,0.0013,491.5,7.592199266267613,0.15893072169756325
5,80000,150,swap,0.6000000000000001,pmx,0.6000000000000001,6929.25,6473.75,0.0078,0.0013,455.5,7.036107356632556,0.1650301210653753
5,80000,150,swap,0.8000000000000002,pmx,0.6000000000000001,6929.25,6473.75,0.0072,0.0013,455.5,7.036107356632556,0.18035840169356973
5,80000,150,swap,0.4,pmx,0.8000000000000002,6929.25,6473.75,0.0096,0.0013,455.5,7.036107356632556,0.1346652309212151
5,80000,150,swap,0.6000000000000001,pmx,0.8000000000000002,6880.25,6473.75,0.0113,0.0013,406.5,6.279204479629271,0.11423353724964384
5,80000,150,swap,0.8000000000000002,pmx,0.8000000000000002,7029.75,6473.75,0.0116,0.0013,556.0,8.588530604363783,0.11163285562198018
5,80000,150,swap,0.4,order,0.4,7289.75,6473.75,0.0072,0.0013,816.0,12.604749951728138,0.1792614393266923
5,80000,150,swap,0.6000000000000001,order,0.4,7289.75,6473.75,0.0069,0.0013,816.0,12.604749951728138,0.18648364171141282
5,80000,150,swap,0.8000000000000002,order,0.4,7323.75,6473.75,0.0063,0.0013,850.0,13.129947866383475,0.20623303453231967
5,80000,150,swap,0.4,order,0.6000000000000001,7109.75,6473.75,0.0079,0.0013,636.0,9.824290403552808,0.1644924339326656
5,80000,150,swap,0.6000000000000001,order,0.6000000000000001,7244.25,6473.75,0.0081,0.0013,770.5,11.901911565939372,0.15889367059097798
5,80000,150,swap,0.8000000000000002,order,0.6000000000000001,7168.25,6473.75,0.0072,0.0013,694.5,10.727939756709787,0.17978156879554222
5,80000,150,swap,0.4,order,0.8000000000000002,6965.25,6473.75,0.0093,0.0013,491.5,7.592199266267613,0.13938839408967738
5,80000,150,swap,0.6000000000000001,order,0.8000000000000002,7109.75,6473.75,0.0086,0.0013,636.0,9.824290403552808,0.14944758667945732
5,80000,150,swap,0.8000000000000002,order,0.8000000000000002,6929.25,6473.75,0.0083,0.0013,455.5,7.036107356632556,0.15573503941505767
5,80000,150,insert,0.4,pmx,0.4,7251.75,6473.75,0.0068,0.0013,778.0,12.017764047113346,0.18938540516133512
5,80000,150,insert,0.6000000000000001,pmx,0.4,7323.75,6473.75,0.0067,0.0013,850.0,13.129947866383475,0.19305322192324031
5,80000,150,insert,0.8000000000000002,pmx,0.4,7251.75,6473.75,0.0069,0.0013,778.0,12.017764047113346,0.18750972179235872
5,80000,150,insert,0.4,pmx,0.6000000000000001,7168.25,6473.75,0.0081,0.0013,694.5,10.727939756709787,0.1590790990780721
5,80000,150,insert,0.6000000000000001,pmx,0.6000000000000001,6965.25,6473.75,0.0086,0.0013,491.5,7.592199266267613,0.15048699252063036
5,80000,150,insert,0.8000000000000002,pmx,0.6000000000000001,7089.75,6473.75,0.0080,0.0013,616.0,9.515350453755545,0.16143879200592154
5,80000,150,insert,0.4,pmx,0.8000000000000002,6801.75,6473.75,0.0093,0.0013,328.0,5.066615176675029,0.13835211489178148
5,80000,150,insert,0.6000000000000001,pmx,0.8000000000000002,6860.25,6473.75,0.0090,0.0013,386.5,5.970264529832008,0.14407322306188236
5,80000,150,insert,0.8000000000000002,pmx,0.8000000000000002,6801.75,6473.75,0.0085,0.0013,328.0,5.066615176675029,0.15151569177758634
5,80000,150,insert,0.4,order,0.4,7289.75,6473.75,0.0071,0.0013,816.0,12.604749951728138,0.18154741959113005
5,80000,150,insert,0.6000000000000001,order,0.4,7325.75,6473.75,0.0061,0.0013,852.0,13.160841861363195,0.20979589072720276
5,80000,150,insert,0.8000000000000002,order,0.4,7323.75,6473.75,0.0062,0.0013,850.0,13.129947866383475,0.20919221945137156
5,80000,150,insert,0.4,order,0.6000000000000001,7184.25,6473.75,0.0078,0.0013,710.5,10.975091716547595,0.16537047191556473
5,80000,150,insert,0.6000000000000001,order,0.6000000000000001,7184.25,6473.75,0.0075,0.0013,710.5,10.975091716547595,0.17206043546860209
5,80000,150,insert,0.8000000000000002,order,0.6000000000000001,7184.25,6473.75,0.0074,0.0013,710.5,10.975091716547595,0.17360529801324504
5,80000,150,insert,0.4,order,0.8000000000000002,6860.25,6473.75,0.0090,0.0013,386.5,5.970264529832008,0.14312400451479118
5,80000,150,insert,0.6000000000000001,order,0.8000000000000002,7109.75,6473.75,0.0089,0.0013,636.0,9.824290403552808,0.14463117241379309
5,80000,150,insert,0.8000000000000002,order,0.8000000000000002,6965.25,6473.75,0.0091,0.0013,491.5,7.592199266267613,0.14239143446582925
5,80000,150,scramble,0.4,pmx,0.4,7289.75,6473.75,0.0067,0.0013,816.0,12.604749951728138,0.19237211402766016
5,80000,150,scramble,0.6000000000000001,pmx,0.4,7253.75,6473.75,0.0066,0.0013,780.0,12.048658042093066,0.1968161709500433
5,80000,150,scramble,0.8000000000000002,pmx,0.4,7244.25,6473.75,0.0065,0.0013,770.5,11.901911565939372,0.19870249626471337
5,80000,150,scramble,0.4,pmx,0.6000000000000001,6965.25,6473.75,0.0084,0.0013,491.5,7.592199266267613,0.15402811299435026
5,80000,150,scramble,0.6000000000000001,pmx,0.6000000000000001,7029.75,6473.75,0.0077,0.0013,556.0,8.588530604363783,0.16774635286878942
5,80000,150,scramble,0.8000000000000002,pmx,0.6000000000000001,6965.25,6473.75,0.0072,0.0013,491.5,7.592199266267613,0.17855115593686555
